prompt	response
"先生


ファンドをやらないことをお勧めしますが、株をやっていますか。"	"先生


ファンドをやらないことをお勧めします。
株をされてますか？"
"アシスタント


おはようございます！
先生公式LINEを追加すると無料で素敵なプレゼントがもらえます
追加しましたか。"	"アシスタント


おはようございます！
先生公式LINEを追加すると無料で素敵なプレゼントがもらえます🥰
追加されましたか？"
"アシスタント



おはようございます
本村先生のLINEを追加しましたか。先生を追加した友人一人一人が、先生のところに行って無料でプレゼントを受け取ることができ、良質な株式情報を受け取ることができ、投資に関する質問があれば、先生に相談することができます。今後もよろしくお願いします"	"アシスタント



おはようございます
本村先生のLINEを追加しましたか？
先生を追加したは無料でプレゼントを受け取ることができます！
良質な株式情報を受け取ることができ、投資に関する質問があれば、先生に相談することができます。
今後もよろしくお願いします"
"先生



おはようございます、ご追加ありがとうございます
xxxさん、私と私のチームは分析しています。後でお伝えしますので、私のメッセージに注意してください
xxxさんはどのような投資経験がありますか。"	"先生



おはようございます、追加していただきありがとうございます

分析しておりますので、後程お伝えします。
私のメッセージにご注目ください
xxxさんはどのような投資経験がありますか？"
"アシスタント



こんにちは、お世話になります
これまでの慣例に従って、毎週本村先生は調査チームと暴騰金株を分析して、収益は20%-35%に達すると予想して、本村先生の私信のニュースを調べて、最適な入場機会を逃さないように注意してください
本村先生LINEが追加されていない場合は、名刺をクリックして追加することができます。"	"アシスタント



こんにちは、お世話になります
これまでの慣例に従って、毎週本村先生は調査チームと暴騰金株を分析し、収益は20%-35%に達すると予想しています。
本村先生のニュースを調べて、最適な入場機会を逃さないように注意してください
本村先生LINEが追加されていない場合は、名刺をクリックして追加することができます。"
"何か心配事はありますか。
教えていただければ、答えておきます"	"何か心配なことはありますか？
教えていただければ、お答えします"
"先生




おはようございます
購入後は取引のスクリーンショットを私に送ってください。
こちらで登録してあげます。その後、何か操作があります。最初にあなたに通知しやすく、取引情報の紛失を避けることができます"	"先生




おはようございます
購入後は取引のスクリーンショットを私に送ってください。
こちらで登録します。
その後、通知を可能な限り早く送りますので、取引情報の紛失を避けることができます"
"先生


おはようございます
これは今日分析された良質な株式です。多くの注目を集めることができます。もし購入があれば、取引のスクリーンショットを送ってください。
私はリアルタイムフォローアップを登録して最大の収益を達成します。"	"先生


おはようございます
これは今日分析した良質な株式です。もし購入された場合は、取引のスクリーンショットを送ってください。
私はリアルタイムフォローアップをし、最大の収益を達成します。"
"せんせい

まず、証券口座が必要です。"	"老师
这是一本关于金融投资的书籍，你可以免费获得。"
"せんせい

金融投資に関する本で、無料で手に入れることができます。"	"先生

金融投資に関する本を、無料で受けとっていただくことができます"
"せんせい

お世話になっております
1605、将来のトレーダーが好調で、安心して長く保有することができます。
もし何か問題があれば、メッセージを残してください。"	"先生

お世話になっております
1605、将来のトレーダーが好調でしているため、安心して長く保有することができます。
もし何か問題があれば、メッセージをお送りください。"
"せんせい

全く心配する必要がありません
どのような優秀な投資家もゼロから始めります
投資ノウハウ、理論知識、実践を組み合わせることで、株式取引の基本原理と取引方法が理解できます。
何か質問があれば、いつでも連絡してください。"	"先生

ご安心ください。。
どのような優秀な投資家もゼロから始めています。

投資ノウハウ、理論知識、実践を組み合わせることで、株式取引の基本原理と取引方法が理解できます。
何か質問があれば、いつでも連絡してください。"
"せんせい

詳細な住所を記入する必要があります。"	"先生

詳細な住所を記入する必要があります。"
"せんせい

初心者はより多くの経験を積む必要があります、そうすれば投資に役立ちます、グループのメッセージに注目することができます。"	"先生

初心者はより多くの経験を積む必要があります。
それが投資に役立っていきます。
グループのメッセージにご注目ください"
"せんせい

xxxxさんは今、株式、信託、FX、金などの投資製品を持っていますか。もしこの方面の疑問があれば、合理的な提案をすることができます
お仕事お疲れ様でした、今日も頑張ってください"	"せんせい

xxxxさんは今、株式、信託、FX、金などの投資製品を持っていますか？
もしこの方面の疑問があれば、提案をすることができます。
お仕事お疲れ様です。
今日も頑張ってください"
"アシスタント


何か心配事はありますか。教えてください。お答えします。"	"アシスタント


何か心配事はありましたら、お伝え下さい。
お答えします🥰"
"せんせい

投資の疑問があれば、私にメッセージを残してください。メッセージを見たら、お答えします"	"先生

投資の疑問があれば、私にメッセージを送ってください。
メッセージを確認次第、お答えします"
"アシスタント


初心者の多くはゆっくり勉強しているので、辛抱強くしましょう。本村先生のLINEを追加してください。将来の投資に役立ちます。"	"アシスタント


初心者の多くはゆっくり勉強しているので、忍耐力が必要になります。
本村先生のLINEを追加してください。将来の投資にお役に立てます。"
"せんせい

弊社が推奨する株式1605を購入していますか。今日の寄り付きは上昇傾向がよく、短期的には2400元に上昇する見込みです。参考にしてみてください。購入する場合は現在の価格で購入してください。購入後にお知らせください。登録して追跡いたします。適切な価格で利益を得るために売るようにご通知します"	"せんせい

弊社が推奨する株式1605を購入していますか？
今日の寄り付きは上昇傾向がよく、短期的には2400元に上昇する見込みです。参考にしてみてください。

購入する場合は現在の価格で購入してください。
そして購入後にお知らせください。登録して追跡いたします。
適切な価格で販売し、利益を得ることができます。"
"せんせい

大丈夫です。アシスタントのxxxのlineを追加してください
後ほど彼女に私の学習グループに招待させます"	"先生

大丈夫です。
アシスタントのxxxのLINEを追加してください
後ほど、アシスタントに私の学習グループに招待するようお伝えします。"
